name,address,place_id,rating,reviews,price_level,website,arrondissement
Le Petit Bouillon Pharamond,"24 Rue de la Grande Truanderie, 75001 Paris, France",ChIJRcSln6lv5kcRlLWcSVj4QGE,4.2,5331,2,http://www.petitbouillonpharamond.com/,01
Brasserie de la Bourse,"27 Rue Jean-Jacques Rousseau, 75001 Paris, France",ChIJLTXauyNu5kcRfE2jvCNL1Is,4.4,676,2,http://www.brasseriedelabourseparis.com/,01
Brasserie Flottes,"2 Rue Cambon, 75001 Paris, France",ChIJDeI4Jx9v5kcRItEpEe0E6jo,4.5,1454,2,http://brasserieflottes.fr/fr,01
Brasserie du Louvre - Bocuse,"Place André Malraux, Paris, Île-de-France, France, 75001, 75001 Paris, France",ChIJUZFuuSVu5kcRfY5Fd2TUlRQ,4.1,656,3,https://www.hyattrestaurants.com/en/dining/france/paris/french-restaurant-in-avenue-de-l-opera-brasserie-du-louvre,01
Brasserie l'Émil,"55 Rue Saint-Roch, 75001 Paris, France",ChIJ_xOkpDpv5kcRk_YSe4UrbkI,4.3,142,N/A,https://www.chateauvoltaire.com/restaurant,01
LE CHOUBICHOU PARIS CHÂTELET,"5 Rue Mondétour, 75001 Paris, France",ChIJF50yHBlu5kcRgd3blpdh-WM,4.3,1119,3,https://www.privateaser.com/lieu/49884-choubichou,01
Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",ChIJQQtKZyJu5kcRhXhHvOUt3To,4.3,15586,3,https://www.pieddecochon.com//?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,01
French Beer Brasserie,"Le Carroussel du Louvre, 99 Rue de Rivoli, 75001 Paris, France",ChIJRcLNn2pv5kcRN2u1lYNevik,4.6,292,N/A,https://foodcourtrivoli.fr/fr/restaurant-french-beer-brasserie/,01
Le Café Plume,"164 Rue Saint-Honoré, 75001 Paris, France",ChIJuU7q9iNu5kcRCujrCnNpmTU,4.2,1627,2,http://www.cafeplume-paris.fr/,01
Café Joséphine,"3 Pl. des Deux Ecus, 75001 Paris, France",ChIJdd2yjVhv5kcR40Ab9Db4mBI,4.3,880,N/A,http://www.cafe-josephineparis.fr/,01
Le Reynou,"2 Quai de la Mégisserie, 75001 Paris, France",ChIJDTlxlR9u5kcRc_oRpz4I1-I,4.5,217,1,https://www.facebook.com/Le-Reynou-1560153544244921/,01
Loup,"44, rue du Louvre Angle, Rue Coquillière, 75001 Paris, France",ChIJI5p2_CJu5kcRgjL-oQSVlnE,4.2,1868,2,http://loup-paris.com/,01
Bistrot Victoires,"6 Rue de la Vrillière, 75001 Paris, France",ChIJpds8WyNu5kcR2FQvBHJLGZs,4.4,5581,1,http://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,01
Le Baltard,"9 Rue Coquillière, 75001 Paris, France",ChIJKSjlUyJu5kcR0vuxtfcCnwY,4.1,1084,2,https://lebaltard.com/,01
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",ChIJHwzjqZJv5kcRCir2RjPAaKE,4.6,8270,2,http://www.restaurantchouchouparis.fr/,01
Au Vieux Comptoir,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJgVHLCh9u5kcRTdrNgGB0JoI,4.6,853,3,https://www.au-vieux-comptoir.com/,01
Bistrot Valois,"1 Pl. de Valois, 75001 Paris, France",ChIJU8FNZiRu5kcRIEum9ZJ7ymA,3.9,595,2,https://bistrot-valois-paris.com/fr,01
Café de la Régence,"167 Rue Saint-Honoré, 75001 Paris, France",ChIJtRRWgyVu5kcRtlep_4vBrdo,4.3,3238,2,https://menuonline.fr/cafedelaregencebis/coordonnees,01
Au Chien Qui Fume‎‎,"33 Rue du Pont Neuf, 75001 Paris, France",ChIJ9UCeqhhu5kcRqy9I3duxap0,4,2500,2,https://www.auchienquifume.com/,01
Bistro les Artizans,"30 Rue Montorgueil, 75001 Paris, France",ChIJ_5qDXxhu5kcRiJhbIQOAZr4,4.4,1259,2,http://www.lesartizans.fr/,01
La Rotonde St Honoré,"10 Rue des Pyramides, 75001 Paris, France",ChIJDTYHkS9u5kcRpwI5ndM1rM8,4.1,1513,2,http://www.larotondesthonore.com/,01
Le Zimmer,"1 Pl. du Châtelet, 75001 Paris, France",ChIJI5HJsx9u5kcRJl41efCbOAw,4.1,1599,3,http://www.lezimmer.com/,01
Le Nelson's - Louvre,"16 Rue Coquillière, 75001 Paris, France",ChIJl806WCJu5kcRj9u3cONSIhc,4.2,3553,2,https://nelsons.fr/,01
Le Nemours,"2 à 7 Galerie de Nemours, 2 Place Colette, 75001 Paris, France",ChIJvYAMtCVu5kcRmAVmbFzjizg,4,1957,2,http://www.lenemours.paris/,01
Le Fumoir,"6 Rue de l'Amiral de Coligny, 75001 Paris, France",ChIJw8kRaSFu5kcRFhLvX5DjiWY,4.4,3999,2,http://www.lefumoir.com/,01
Le Zinc d'Honoré,"36 Pl. du Marché Saint-Honoré, 75001 Paris, France",ChIJV5rNPDBu5kcRneM-vQuZnxI,4.2,1339,2,N/A,01
Au Vieux Châtelet,"1 Pl. du Châtelet, 75001 Paris, France",ChIJI5HJsx9u5kcRiyZiycswBgA,3.8,1143,2,N/A,01
Le Royal,"250 Rue Saint-Honoré, 75001 Paris, France",ChIJM7ZmmyVu5kcRufBOsBQN_34,3.9,1584,2,N/A,01
LE PASSAGE SAINT HONORÉ,"33 Pl. du Marché Saint-Honoré, 75001 Paris, France",ChIJOe9rw7hv5kcR09_vDpvFrek,4.2,1465,2,https://lepassagesainthonore.fr/fr,01
La Fresque,"100 Rue Rambuteau, 75001 Paris, France",ChIJS9BDHxlu5kcRV8z7tYkG2PQ,4.4,1723,2,http://lafresqueparis.com/,01
Carpe Diem Café - Paris,"21 Rue des Halles, 75001 Paris, France",ChIJK5lZTx9u5kcRmu-l8JsycNg,4.4,1100,2,https://carpediem-cafe-paris.fr/,01
Le Relais du Louvre,"3 Rue du Louvre, 75001 Paris, France",ChIJlyYq1yNu5kcRS6_g26rTKGQ,4.6,984,2,https://lerelaisdulouvre.com/,01
La Robe et Le Palais,"13 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJa1dSnh9u5kcRg_jbgJoRQBU,4.5,951,2,https://www.robeetlepalais.fr/,01
CAFE SAINT HONORÉ,"194 Rue Saint-Honoré, 75001 Paris, France",ChIJWe6kaiRu5kcRH_SM6yU7UYo,4.4,1862,2,https://cafe-saint-ho.fr/,01
L'Imprimerie,"29 Rue Coquillière, 75001 Paris, France",ChIJReCEBiNu5kcRJIqTLjLS01Y,3.9,341,2,http://cafelimprimerie.fr/,01
Au Bistro,"8 Rue du Marché Saint-Honoré, 75001 Paris, France",ChIJIfLv0i9u5kcR_Mw1tnH7mJs,4.4,237,2,http://www.aubistroparis.fr/,01
Brasserie Maison Rouge,"12 Rue de la Ferronnerie, 75001 Paris, France",ChIJM_sjOx9u5kcRsopdBvqxIWM,4.1,1703,2,https://www.brasserie-maisonrouge.fr/,01
Le Willi's Wine Bar,"13 Rue des Petits Champs, 75001 Paris, France",ChIJ9547tSRu5kcR60feMqgFLEk,4.3,588,2,http://www.williswinebar.com/,01
Au Terminus du Châtelet,"5 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJvRsMmR9u5kcRybtiNZG2S7o,4.6,908,2,https://www.auterminusduchatelet.com/,01
Bistrot du Jardin,"33 Rue Berger, 75001 Paris, France",ChIJMS35GiJu5kcRNFJH5Orj-3A,4.1,782,2,https://bistrot-du-jardin.fr/,01
Brasserie Dubillot,"222 Rue St Denis, 75002 Paris, France",ChIJBy2KU1Fv5kcRPeBADiR3WzM,4.6,6637,2,https://nouvellegardegroupe.com/,02
Vaudeville,"29 Rue Vivienne, 75002 Paris, France",ChIJ0aVfcDBu5kcR2WJYeZ56XxI,4.4,3445,2,https://www.vaudevilleparis.com//?utm_source=Google&utm_medium=GMB&utm_campaign=VAU&y_source=1_MTE2NjUxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,02
Le Grand Colbert,"2 Rue Vivienne, 75002 Paris, France",ChIJpbKdWjtu5kcRQDSu42z_j_A,4.2,2755,3,http://www.legrandcolbert.fr/,02
Brasserie Rosie Lou,"31 Bd de Bonne Nouvelle, 75002 Paris, France",ChIJE0OZV5Bv5kcRO85oMBPnrt8,4.7,2134,2,http://brasseriesalamode.com/,02
L’Empire,"108 Rue Réaumur, 75002 Paris, France",ChIJg-LMvxdu5kcR9r_8nQPVWdk,4.5,576,N/A,https://www.lempirebrasserie.com/,02
Comme un Bouillon,"17 Rue de Choiseul, 75002 Paris, France",ChIJq0eNOGtv5kcRsZyscimIuoI,4.5,1128,1,http://www.commeunbouillon.com/,02
Le Mesturet,"77 Rue de Richelieu, 75002 Paris, France",ChIJrZ7wnztu5kcRY2YMou4gGgs,4.4,2863,2,https://www.lemesturet.com/?utm_source=gmb,02
Brasserie les Petits Carreaux,"17 Rue des Petits Carreaux, 75002 Paris, France",ChIJ04XikBdu5kcRkaY1wsg9qoY,4.2,1048,2,http://www.brasserielespetitscarreaux.com/,02
"L'Entente, Le British Brasserie","13 Rue Monsigny, 75002 Paris, France",ChIJrW2cYTpu5kcRJmiR0ES-zIs,4.3,1401,2,https://lentente.paris/,02
Capitole Café,"105 Bd de Sébastopol, 75002 Paris, France",ChIJz-VSnhBu5kcRl_8HHRfTPOY,4.3,1936,2,https://lecapitolecafe.wixsite.com/info,02
Bar restaurant brasserie le sentier,"97 Rue Réaumur, 75002 Paris, France",ChIJM_633xdu5kcR030T5I8cjj8,4.2,180,N/A,https://www.privateaser.com/lieu/40536-le-sentier,02
Le Fief,"97 Rue Montmartre, 75002 Paris, France",ChIJtwAnuahv5kcRfstdlxJAIV0,4.5,264,N/A,https://www.lefiefbrasserie.fr/,02
Restaurant Clémentine - Bistrot Terrasse Paris 2,"5 Rue Saint-Marc, 75002 Paris, France",ChIJ373fPjxu5kcRwElpMLj9JfU,4.7,491,2,https://www.restaurantclementine.com/,02
Brasserie Madeleine,"39 Bd de Bonne Nouvelle, 75002 Paris, France",ChIJAVnGZBZu5kcRJx2XzUJ_XYM,3.5,643,2,http://www.brasseriemadeleine.fr/,02
BRASSERIE LE TAMBOUR,"41 Rue Montmartre, 75002 Paris, France",ChIJO1gvpCJu5kcRPD3aJQKITbc,4,1973,2,https://menuonline.fr/letambour,02
Public House Paris,"21 Rue Daunou, 75002 Paris, France",ChIJpZfi4plv5kcRyh_s6_A8QeQ,4.5,1759,2,https://www.publichouseparis.fr/,02
Gallopin,"40 Rue Notre Dame des Victoires, 75002 Paris, France",ChIJyW6wknNv5kcRTdWzsViISUg,4.1,938,N/A,https://gallopin.com/,02
Bistrot Gisèle,"204 Rue St Denis, 75002 Paris, France",ChIJjRACuBBu5kcRjykVvAb7GuM,4.4,217,N/A,https://www.bistrotgisele.com/,02
La cantine des Pieds Nickelés,"120 Rue St Denis, 75002 Paris, France",ChIJHdeFjhlu5kcRlpMTb5Z7UGI,4.5,371,2,https://www.privateaser.com/lieu/2597-les-pieds-nickeles-bar,02
Le Bistrot du Croissant,"146 Rue Montmartre, 75002 Paris, France",ChIJga0srz1u5kcRm7mXLvbURY8,4.1,724,1,http://www.bistrotducroissant.fr/,02
Le Sancerre,"87 Rue des Archives, 75003 Paris, France",ChIJG7vRzQVu5kcRZaktJ1pxfoo,4.2,1041,2,http://lesancerre3.com/,03
Brasserie Royal Turenne Paris,"24 Rue de Turenne, 75003 Paris, France",ChIJBYLxMQBu5kcR_jMhtvwyx9Q,4,711,2,https://royalturenne.fr/,03
L'Adresse,"60 R. de Turbigo, 75003 Paris, France",ChIJ_SJMYgVu5kcRLzswyZK4qFc,4.2,580,2,http://www.brasserie-ladresse.fr/,03
Bistrotier du Coin,"21 Rue Réaumur, 75003 Paris, France",ChIJES15TwVu5kcRZLONVxK0O78,4.3,331,1,N/A,03
Le Parisien Saint-Martin,"337 Rue Saint-Martin, 75003 Paris, France",ChIJNVJPRhBu5kcRcAZotrvhGxI,4.5,446,N/A,https://leparisiensaintmartin.fr/,03
Café des Arts et Métiers,"51 R. de Turbigo, 75003 Paris, France",ChIJQWzevBpu5kcR7vM4bjz4Chg,3.6,1937,2,https://ambre43.wixsite.com/my-site-2,03
Le Progrès Marais,"1 Rue de Bretagne, 75003 Paris, France",ChIJUTSf3wZu5kcRxi4TAJosukM,4.1,1113,2,https://www.leprogresmarais.fr/,03
Balou Paris 3,"9-11 Rue aux Ours, 75003 Paris, France",ChIJeWycGJNv5kcRUfNFr8VBbMc,4.7,2664,2,https://www.brasseriebalou.fr/,03
Café Mélia.,"39 Rue Beaubourg, 75003 Paris, France",ChIJF2j93L9v5kcRCR7NtIp3_30,4.9,204,N/A,https://www.privateaser.com/lieu/72-cafe-melia-ex-le-trente-neuf-paris,03
Les Chartrons,"2 Rue au Maire, 75003 Paris, France",ChIJo8EpzExv5kcRUmdn_P6qd1c,4.7,203,N/A,N/A,03
Café Léonard,"57 R. de Turbigo, 75003 Paris, France",ChIJ65l3VAVu5kcR49Z5gr7_gL8,4.1,512,2,https://www.privateaser.com/lieu/11978-cafe-leonard,03
Au Grand Turenne,"27 Bd du Temple, 75003 Paris, France",ChIJvT_X0Qdu5kcRUxCWZdehYPE,4.1,200,2,N/A,03
Le JOÜY,"10 Rue Montgolfier, 75003 Paris, France",ChIJf71uEelv5kcRH7g2q0_PQOI,4.9,472,N/A,http://www.lejouyparis.fr/,03
Sacré Frenchy !,"58 Bd de Sébastopol, 75003 Paris, France",ChIJTdiHcqxv5kcRVgEUqDEcnbY,4.6,1452,2,https://www.sacrefrenchy.com/,03
Brasserie Rosie Lou,"31 Bd de Bonne Nouvelle, 75002 Paris, France",ChIJE0OZV5Bv5kcRO85oMBPnrt8,4.7,2134,2,http://brasseriesalamode.com/,02
Café Mignon,"77 Bd Beaumarchais, 75003 Paris, France",ChIJ8ZL6LP5t5kcRAaNscKgZbck,4.5,418,2,N/A,03
Parcelles,"13 Rue Chapon, 75003 Paris, France",ChIJ03vIR11v5kcRk5QReT9ivac,4.5,342,N/A,https://www.parcelles-paris.fr/,03
Le MaZenay,"46 Rue de Montmorency, 75003 Paris, France",ChIJvbCbVRpu5kcRfMWl3JeGW4s,4.6,495,3,http://www.lemazenay.com/,03
Café du Marché des Enfants Rouges,"37 Rue de Bretagne, 75003 Paris, France",ChIJkaCK1VBv5kcR3fbLARdzbsw,4,355,2,https://wiicmenu-qrcode.com/app/offre.php?resto=870,03
Cafe Georgette Paris,"202 Rue Saint-Martin, 75003 Paris, France",ChIJacrxZmVv5kcRXHF1elZ9404,4.1,347,N/A,https://hotelgeorgette.com/fr/page/restaurant-paris-3eme-arrondissement.21036.html,03
Bofinger,"5-7 Rue de la Bastille, 75004 Paris, France",ChIJuYqiNwBy5kcRBjo0Df8Wpkc,4.3,9003,2,https://www.bofingerparis.com/?utm_source=Google&utm_medium=GMB&utm_campaign=BOF&y_source=1_MTE2NjUxODEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,04
Le Ju',"16 Rue des Archives, 75004 Paris, France",ChIJ62uOOx1u5kcRhQssBujerII,4.8,12485,2,https://www.instagram.com/leju_restaurant/,04
Grande Brasserie,"6 Rue de la Bastille, 75004 Paris, France",ChIJ-2gmGJxz5kcR4TeT2GHQ59Y,4.4,827,N/A,http://www.grandebrasserie.fr/,04
L'hirondelle - Paris 4,"42 Bd Henri IV, 75004 Paris, France",ChIJbx5jVqtz5kcRs9WcfbHolZ0,4.7,391,N/A,https://wiicmenu-qrcode.com/app/offre.php?resto=1440,04
Au Bourguignon du Marais,"52 Rue François Miron, 75004 Paris, France",ChIJY2oZZf1x5kcRZTsJlVMjTOg,4.6,2939,2,http://aubourguignondumarais.fr/?utm_source=gmb,04
Les Deux Palais,"3 Bd du Palais, 75004 Paris, France",ChIJIVhOliRu5kcRnyj3wbCBrmk,4.4,3034,2,https://www.brasserielesdeuxpalais.fr/,04
L'Alsacien Châtelet - Restaurant / Bar à Flammekueches,"6 Rue Saint-Bon, 75004 Paris, France",ChIJu_io1h1u5kcRV737GjvtdwE,4.6,2865,2,https://www.lalsacien.com/restaurant-alsacien-paris/,04
Les Fous de l'Ile,"33 Rue des Deux Ponts, 75004 Paris, France",ChIJRVHK6vxx5kcRuRbWm20W4NI,4.3,1498,2,https://lesfous.paris/,04
Paris Beaubourg,"23 rue saint merri, 12 Rue Brisemiche, 75004 Paris, France",ChIJ5cCBKkhv5kcRi87pu-J_fSc,4.3,974,N/A,https://parisbeaubourg.fr/,04
Le Saint-Regis - Paris,"6 Rue Jean du Bellay, 75004 Paris, France",ChIJ7ayOGeNx5kcReHHR9KTXiz0,4.4,2375,2,http://www.lesaintregis-paris.com/,04
Chez Mademoiselle,"16 Rue Charlemagne, 75004 Paris, France",ChIJQbXTwP1x5kcRr7XXex7JA2A,4.6,1226,2,http://chezmademoiselleparis.fr/fr,04
Le Beef Burger Steakhouse Archives,"15 Rue des Archives, 75004 Paris, France",ChIJK28Fg95v5kcRillgKZjRyd4,4.5,178,N/A,https://beef.fr/,04
Le Trésor,"9 Rue du Trésor, 75004 Paris, France",ChIJAZAKkwJu5kcRh8LXJESMNeI,4.1,1880,2,http://www.restaurantletresor.com/,04
Le Trumilou,"84 Quai de l'Hôtel de ville, 75004 Paris, France",ChIJQRaGlOJx5kcRlkk2qr32zWg,4.4,930,2,https://www.letrumilou.fr/,04
Le Rempart Bastille,"15 Rue Saint-Antoine, 75004 Paris, France",ChIJDf4jgf9x5kcRB6AIVMypZS4,4.7,3179,1,https://www.lerempartbastille.fr/,04
Terrasse Sainte Catherine,"7 Rue Caron, 75004 Paris, France",ChIJS86cIf5x5kcRhk-2biwJHmw,4.3,725,2,https://www.privateaser.com/lieu/52305-terrasse-sainte-catherine,04
Bistrot Marguerite,"1 Pl. de l'Hôtel de Ville, 75004 Paris, France",ChIJVccn-R1u5kcRF9FsB_tpRpk,4.1,2427,2,https://restaurant.digityser.com/83,04
Le Petit Marcel,"65 Rue Rambuteau, 75004 Paris, France",ChIJ_0Wm5Btu5kcRIRhQosDYhYw,4.1,1419,2,https://lepetitmarcelparis.fr/,04
GrandCœur,"41 Rue du Temple, 75004 Paris, France",ChIJkUOQ9Bxu5kcRWHpBtoWl0iA,4.4,1541,3,http://www.grandcoeur.paris/,04
Le Sully,"6 Bd Henri IV, 75004 Paris, France",ChIJY5oZS_lx5kcRii4lQU3PQn4,4.1,392,2,http://www.lesully.com/,04
Bistrot La Grange - Restaurant Paris 5,"17 Rue Lagrange, 75005 Paris, France",ChIJSXaotuZx5kcRdYvJCOtJjCY,4.6,356,2,https://bistrot-la-grange.fr/,05
Bistro des lettres,"52 Bd Saint-Germain, 75005 Paris, France",ChIJI7jEef5x5kcRkWRFsJD96So,4.8,1178,N/A,http://www.bistrodeslettres.com/,05
Le Balzar,"49 Rue des Écoles, 75005 Paris, France",ChIJW-zV8t1x5kcRVQ2AiWJWpXw,4.1,678,2,http://www.brasseriebalzar.com/?utm_source=Google&utm_medium=GMB&utm_campaign=brasserie002,05
Brasserie Le Quartier Général,"82 Bd Saint-Germain, 75005 Paris, France",ChIJay8JMudx5kcRkdMl7OdFdRk,4.2,1416,2,https://www.cafelequartiergeneral.com/,05
Le Bistrot Du Perigord,"71 Rue Saint-Jacques, 75005 Paris, France",ChIJG0s2Fedx5kcRY6Su2Sva7K8,4.6,915,2,https://www.lebistroduperigord.fr/,05
Celina Brasserie Paris 5ème,"77 Rue Claude Bernard, 75005 Paris, France",ChIJkb4-HHBx5kcRuwzpQpfFjBU,4.6,211,N/A,https://www.privateaser.com/lieu/47662-brasserie-celina,05
Au Moulin à Vent,"20 Rue des Fossés Saint-Bernard, 75005 Paris, France",ChIJO9_c1eRx5kcRHOOxQmeood4,4.7,956,2,https://www.au-moulinavent.com/,05
Le Duo D & S,"3 Rue des Feuillantines, 75005 Paris, France",ChIJx1X8AcJx5kcRivskBjqpVrA,4.8,397,1,https://www.leduods.fr/,05
L'Orée du Parc,"9 Rue de l'Abbé de l'Épée, 75005 Paris, France",ChIJF4ynYVVx5kcRijph_r5r-bU,4.4,143,N/A,https://www.instagram.com/brasserie.loree.du.parc/,05
Chez Jeannette Paris,"263 Rue Saint-Jacques, 75005 Paris, France",ChIJ9yWe1sVx5kcRJgWF0JBR0VU,4.8,49,N/A,N/A,05
La Petite Périgourdine,"39 Rue des Écoles, 75005 Paris, France",ChIJUyq75EZx5kcRM8tHPzSrDbk,4.3,1158,2,https://www.restaurantlapetiteperigourdine.com/,05
Au Petit Bistrot,"89 Rue Mouffetard, 75005 Paris, France",ChIJEQ7wuu5x5kcRA1UJYfRTybA,4.4,890,2,https://www.wiictechnology.com/WiiC_clouds/offre.php?resto=529,05
La Petite,"53 Rue Lacépède, 75005 Paris, France",ChIJexdqMO9x5kcR-5F9JAfALbI,4.6,1158,N/A,https://lapetite.mimohca.com/,05
Le Vieux Bistrot,"54 Rue Mouffetard, 75005 Paris, France",ChIJCTXT1u5x5kcRl6466_sFOXc,4.6,1647,2,https://levieuxbistrot-paris.fr/,05
Bistrot du Marché,"75bis Rue Monge, 75005 Paris, France",ChIJdTniUO5x5kcRU8DY1WyeUHY,4.1,559,2,N/A,05
Le Café Parisien - monge,"111 Rue Monge, 75005 Paris, France",ChIJzfshNexx5kcRad-zV1fVock,4.5,716,2,N/A,05
Café Restaurant Jules,"119 bis Rue Monge, 75005 Paris, France",ChIJc_aNNwBx5kcRuGMhYHbNvxk,5,129,N/A,https://www.caferestaurantjules.fr/,05
Au Bon Coin,"21 Rue de la Collégiale, 75005 Paris, France",ChIJr9UiBO1x5kcR44kL6JMcmww,4.5,892,2,http://www.auboncoin-bistrot.com/,05
MONK La Taverne de Cluny,"51 Rue de la Harpe, 75005 Paris, France",ChIJ18XBA95x5kcR-01xNPx_X10,4.4,1496,2,https://monklatavernedecluny.com/,05
Les Baux de Paris,"71 Rue Mouffetard, 75005 Paris, France",ChIJU8BNx-5x5kcRNSC_roNvBRs,4.6,1177,2,https://www.instagram.com/lesbaux_paris/,05
Brasserie Des Prés,"6 Cr du Commerce Saint-André, 75006 Paris, France",ChIJm_Si8glx5kcRd7Uq3X0ww6k,4.7,3259,2,http://lanouvellegarde.com/,06
Vagenende,"142 Bd Saint-Germain, 75006 Paris, France",ChIJjec9PNlx5kcREopbHGKZZ68,4.3,1555,2,http://www.vagenende.com/,06
Le Paris Paris,"8 Rue de Montfaucon, 75006 Paris, France",ChIJ77pfIr1x5kcRzLuURgOtMqg,4.4,825,2,http://www.leparisparis.fr/,06
Brasserie Lutetia,"43 Bd Raspail, 75006 Paris, France",ChIJOz7If5hx5kcRJ27muAb4VHY,4.3,725,N/A,https://www.hotellutetia.com/fr/eat-drink/brasserie/,06
O'Neil,"20 Rue des Canettes, 75006 Paris, France",ChIJ-4wd8dlx5kcRpL6wEprqxLc,4.3,1647,2,https://www.brasserieoneil.com/,06
Brasserie des Arts,"28 Rue Saint-André des Arts, 75006 Paris, France",ChIJ-Wjoti9x5kcRok1nIizw4wg,4.5,616,N/A,http://brasserie-des-arts.com/,06
Le Choupinet,"58 Bd Saint-Michel, 75006 Paris, France",ChIJBaN9AwBx5kcRiSRrpHFLFbo,4.3,2861,2,http://www.lechoupinet.com/,06
Le Nesle - Brasserie Restaurant,"22 Rue Dauphine, 75006 Paris, France",ChIJm5z0R99x5kcRUiesq8mFlEA,4.4,1026,2,https://brasserielenesle.fr/,06
Brasserie Lipp,"151 Bd Saint-Germain, 75006 Paris, France",ChIJg3Rfgtdx5kcRQrfAZLTsDTw,4.1,5060,3,https://www.brasserielipp.fr/?utm_source=Google&utm_medium=GMB&utm_campaign=LI&y_source=1_MTE2NjUxNzEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,06
Chez Fernand,"13 Rue Guisarde, 75006 Paris, France",ChIJ-1qyjdlx5kcRMX6oCe8oXzg,4.5,1289,2,http://www.chezfernand-guisarde.com/,06
La Diva des Prés,"79 Rue de Seine, 75006 Paris, France",ChIJFxCm1Ylx5kcR3zje0Un7i10,4.3,1948,N/A,https://www.ladivadespres.com/?utm_source=Google-Map&utm_medium=Fiche,06
CAMILA,"5 Rue Mabillon, 75006 Paris, France",ChIJ-bF0VAhu5kcRg7-tToTSzy0,4.4,1150,2,https://www.instagram.com/camilarestaurantparis/?hl=fr,06
Le Bistro des Augustins,"39 Quai des Grands Augustins, 75006 Paris, France",ChIJ4zpdo99x5kcRn-0vKiMMPhU,4.4,1994,1,https://www.facebook.com/pages/Bistrot-Des-Augustins/106726426061804,06
Côté Saint-Germain,"150 Bd Saint-Germain, 75006 Paris, France",ChIJM9Qy8C1x5kcRIkFzKs6oBYQ,4.5,392,N/A,http://cote-saint-germain-restaurant-paris.eatbu.com/,06
Les insouciants saint-Germain,"116 Bd Saint-Germain, 75006 Paris, France",ChIJD-hewrVx5kcRs8mVqOTz3B0,4.6,1169,N/A,https://www.privateaser.com/lieu/40409-les-insouciants,06
Le Hibou,"16 Carr de l'Odéon, 75006 Paris, France",ChIJcdW-rN5x5kcRBFdxGa1YqaE,3.9,2735,2,http://lehibou-paris.com/,06
